x coordinate,y_coordinate,gas heat transfer coefficient,heat flux,max wall temperature,tbc wall temperature,Re inner,Re outer,pressure drops,section lenghts,hydrolic diameter inner,hydrolic diameter outer,wt1,wto,rf1 inner,rf1 outer,rf2,t,hi,ho,stress ratios
0.0,0.06576221,3150.748789585611,7317636.829823153,693.3635327030306,1665.5580307596608,59877.79795068282,65499.10989303059,1210356.3762803369,0.00430773,0.0011158023711678186,0.001177527177055164,0.0007,0.0004504323755411692,0.0002000000000000485,0.0002000000000000485,0.0001124457864675306,0.002000000000000186,32492.34914974907,34910.556631411186,2.233110584034316
0.00430773,0.06576221,3150.748789585611,7319195.857134887,692.5738409307185,1665.0632190765184,58916.499491970746,64448.8849195831,1206926.295041376,0.00430773,0.0011157585538445482,0.0011774876791657354,0.0007,0.0004505564605812835,0.0002000000000000485,0.0002000000000000485,0.0001124159841451429,0.002000000000000186,32283.667931220498,34686.912861532495,2.2335140194582195
0.00861546,0.06576221,3150.748789585611,7320746.80959301,691.7861486204355,1664.5709702297524,57967.33764663349,63411.904873386724,1203562.7761140296,0.004307739999999999,0.0011157147336846103,0.0011774481797102844,0.0007,0.0004506798861827779,0.0002000000000000485,0.0002000000000000485,0.00011238618182275521,0.002000000000000186,32074.341317833918,34462.5732746178,2.233928126825428
0.0129232,0.06576221,3150.748789585611,7322289.372128341,691.0005446333481,1664.0813842175542,57029.86102235986,62387.67665932453,1200264.2185046345,0.004307730000000003,0.001115670910688329,0.001177408678689185,0.0007,0.00045080265572031397,0.0002000000000000485,0.0002000000000000485,0.00011235637950036751,0.002000000000000186,31864.344646625563,34237.51143404858,2.234353337620311
0.017230930000000002,0.06576221,3150.748789585611,7323823.237917016,690.217113437927,1663.594558421177,56103.648355155674,61375.74009668066,1197029.1090228772,0.004307729999999999,0.0011156270848562263,0.001177369176102703,0.0007,0.00045092477313181536,0.0002000000000000485,0.0002000000000000485,0.00011232657717797982,0.002000000000000186,31653.655142668973,34011.70292918247,2.234790088929283
0.02153866,0.06576221,3150.748789585611,7325348.093906523,689.4359424332873,1663.1105921987516,55188.31513174114,60375.67515977912,1193856.0471036618,0.004307729999999999,0.001115583256188635,0.0011773296719511976,0.0007,0.000451046241921616,0.0002000000000000485,0.0002000000000000485,0.00011229677485559212,0.002000000000000186,31442.253753603785,33785.127343471664,2.235238818582227
0.02584639,0.06576221,3150.748789585611,7326863.624303408,688.6571201424744,1662.6295857783432,54283.509310694586,59387.097301136346,1190743.7308063738,0.004307729999999999,0.001115539424685965,0.0011772901662350575,0.0007,0.00045116706542135566,0.0002000000000000485,0.0002000000000000485,0.00011226697253320443,0.002000000000000186,31230.124565248905,33557.767626874556,2.2356999666550617
0.03015412,0.06576221,3150.748789585611,7328369.513964282,687.8807344275112,1662.1516391816954,53388.907317194644,58409.65307456195,1187690.944148999,0.004307740000000004,0.0011154955903486107,0.0011772506589544684,0.0007,0.0004512872470422965,0.0002000000000000485,0.0002000000000000485,0.00011223717021081673,0.002000000000000186,31017.254214124143,33329.609465422975,2.236173977113505
0.034461860000000004,0.06576221,3150.748789585611,7329865.434473187,687.1068796675057,1661.6768566430655,52504.22048035266,57443.02717754519,1184696.5801520504,0.004307729999999996,0.001115451753176996,0.0011772111501099432,0.0007,0.00045140678930882485,0.0002000000000000485,0.0002000000000000485,0.00011220736788842904,0.002000000000000186,30803.633779768094,33100.643313141554,2.2366612922642988
0.03876959,0.06576221,3150.748789585611,7331351.06496293,686.3356459758982,1661.2053400008458,51629.180864013535,56486.92696160411,1181759.5934401434,0.004307730000000003,0.0011154079131715418,0.001177171639701689,0.0007,0.00045152569532988035,0.0002000000000000485,0.0002000000000000485,0.00011217756556604134,0.002000000000000186,30589.25573685221,32870.86112115461,2.2371623614644736
0.04307732,0.06576221,3150.748789585611,7332826.078184512,685.5671263780815,1660.737193118918,50763.54794872404,55541.08973518309,1178879.0244889138,0.004307729999999996,0.0011153640703326006,0.0011771321277300698,0.0007,0.0004516439678287179,0.0002000000000000485,0.0002000000000000485,0.00011214776324365364,0.002000000000000186,30374.11585409819,32640.258373628007,2.237677635588289
0.04738505,0.06576221,3150.748789585611,7334290.143998456,684.8014149958026,1660.2725207785577,49907.1049924503,54605.27879101244,1176053.98828556,0.004307730000000003,0.0011153202246606115,0.00117709261419543,0.0007,0.00045176160939411976,0.0002000000000000485,0.0002000000000000485,0.00011211796092126595,0.002000000000000186,30158.21262476117,32408.83347874781,2.238207568569018
